student_track_id,student_id,track_name,date_enrolled,date_completed,track_completed,days_for_completion,completion_bucket
1,6,"Data Scientist",2022-09-16,NULL,0,NULL,NULL
2,6,"Business Analyst",2022-09-16,NULL,0,NULL,NULL
1,20,"Data Analyst",2022-02-25,NULL,0,NULL,NULL
1,31,"Data Analyst",2022-04-02,NULL,0,NULL,NULL
1,209,"Data Scientist",2022-01-28,NULL,0,NULL,NULL
2,209,"Business Analyst",2022-06-02,NULL,0,NULL,NULL
1,221,"Data Analyst",2022-02-13,NULL,0,NULL,NULL
1,326,"Data Analyst",2022-03-29,NULL,0,NULL,NULL
1,353,"Data Analyst",2022-07-07,NULL,0,NULL,NULL
1,454,"Data Analyst",2022-02-03,NULL,0,NULL,NULL
1,492,"Data Scientist",2022-03-06,NULL,0,NULL,NULL
1,616,"Data Analyst",2022-04-03,NULL,0,NULL,NULL
1,702,"Data Scientist",2022-05-21,NULL,0,NULL,NULL
1,704,"Data Scientist",2022-08-11,NULL,0,NULL,NULL
1,768,"Business Analyst",2022-07-20,NULL,0,NULL,NULL
1,801,"Data Scientist",2022-01-16,NULL,0,NULL,NULL
2,801,"Data Analyst",2022-01-17,NULL,0,NULL,NULL
3,801,"Business Analyst",2022-01-17,NULL,0,NULL,NULL
1,813,"Data Analyst",2022-01-20,NULL,0,NULL,NULL
1,816,"Data Analyst",2022-01-04,NULL,0,NULL,NULL
1,872,"Data Analyst",2022-09-27,NULL,0,NULL,NULL
1,893,"Data Scientist",2022-07-20,NULL,0,NULL,NULL
1,897,"Data Scientist",2022-08-19,NULL,0,NULL,NULL
1,911,"Data Analyst",2022-03-22,NULL,0,NULL,NULL
1,1019,"Data Scientist",2022-03-27,NULL,0,NULL,NULL
2,1019,"Data Analyst",2022-03-05,NULL,0,NULL,NULL
3,1019,"Business Analyst",2022-05-11,NULL,0,NULL,NULL
1,1035,"Business Analyst",2022-01-10,NULL,0,NULL,NULL
1,1099,"Data Analyst",2022-01-27,NULL,0,NULL,NULL
1,1102,"Data Scientist",2022-01-16,NULL,0,NULL,NULL
2,1102,"Data Analyst",2022-01-16,NULL,0,NULL,NULL
3,1102,"Business Analyst",2022-01-16,NULL,0,NULL,NULL
1,1159,"Data Analyst",2022-06-01,NULL,0,NULL,NULL
1,1173,"Business Analyst",2022-09-11,NULL,0,NULL,NULL
1,1221,"Data Scientist",2022-03-23,NULL,0,NULL,NULL
1,1235,"Data Scientist",2022-03-15,NULL,0,NULL,NULL
1,1246,"Data Analyst",2022-05-16,NULL,0,NULL,NULL
1,1270,"Data Analyst",2022-09-12,NULL,0,NULL,NULL
1,1289,"Data Analyst",2022-07-12,NULL,0,NULL,NULL
1,1306,"Data Analyst",2022-10-09,NULL,0,NULL,NULL
1,1314,"Data Analyst",2022-06-24,NULL,0,NULL,NULL
1,1362,"Data Scientist",2022-10-16,NULL,0,NULL,NULL
1,1363,"Business Analyst",2022-04-16,NULL,0,NULL,NULL
1,1370,"Data Scientist",2022-08-15,NULL,0,NULL,NULL
1,1411,"Data Scientist",2022-02-14,NULL,0,NULL,NULL
1,1468,"Data Scientist",2022-09-14,NULL,0,NULL,NULL
1,1486,"Data Scientist",2022-02-06,NULL,0,NULL,NULL
2,1486,"Data Analyst",2022-09-04,NULL,0,NULL,NULL
1,1498,"Business Analyst",2022-04-03,NULL,0,NULL,NULL
1,1500,"Data Analyst",2022-07-20,NULL,0,NULL,NULL
1,1501,"Data Analyst",2022-08-23,NULL,0,NULL,NULL
1,1503,"Data Analyst",2022-04-01,NULL,0,NULL,NULL
1,1517,"Data Scientist",2022-01-22,NULL,0,NULL,NULL
2,1517,"Data Analyst",2022-01-20,NULL,0,NULL,NULL
1,1521,"Data Analyst",2022-04-05,2023-05-16,1,406,"366+ days"
1,1522,"Data Scientist",2022-04-27,NULL,0,NULL,NULL
2,1522,"Business Analyst",2022-04-27,NULL,0,NULL,NULL
1,1537,"Data Scientist",2022-02-14,NULL,0,NULL,NULL
1,1538,"Data Scientist",2022-08-23,NULL,0,NULL,NULL
2,1538,"Data Analyst",2022-08-22,NULL,0,NULL,NULL
3,1538,"Business Analyst",2022-08-23,NULL,0,NULL,NULL
1,1540,"Data Scientist",2022-01-14,NULL,0,NULL,NULL
1,1552,"Data Scientist",2022-03-15,NULL,0,NULL,NULL
1,1559,"Data Analyst",2022-02-01,NULL,0,NULL,NULL
1,1561,"Business Analyst",2022-08-07,NULL,0,NULL,NULL
1,1563,"Data Scientist",2022-06-26,NULL,0,NULL,NULL
1,1578,"Data Analyst",2022-01-12,NULL,0,NULL,NULL
1,1600,"Data Analyst",2022-03-07,NULL,0,NULL,NULL
1,1791,"Data Scientist",2022-07-28,NULL,0,NULL,NULL
1,1795,"Data Analyst",2022-01-03,NULL,0,NULL,NULL
1,1802,"Data Analyst",2022-06-27,NULL,0,NULL,NULL
1,1809,"Data Scientist",2022-09-27,NULL,0,NULL,NULL
1,1852,"Business Analyst",2022-04-15,NULL,0,NULL,NULL
1,1863,"Data Analyst",2022-02-14,NULL,0,NULL,NULL
1,1866,"Data Analyst",2022-03-16,NULL,0,NULL,NULL
1,1879,"Data Scientist",2022-05-09,NULL,0,NULL,NULL
2,1879,"Data Analyst",2022-05-09,NULL,0,NULL,NULL
3,1879,"Business Analyst",2022-05-09,NULL,0,NULL,NULL
1,1901,"Data Scientist",2022-07-15,NULL,0,NULL,NULL
2,1901,"Data Analyst",2022-10-08,NULL,0,NULL,NULL
1,1909,"Data Analyst",2022-08-24,NULL,0,NULL,NULL
2,1909,"Business Analyst",2022-07-14,NULL,0,NULL,NULL
1,1914,"Data Analyst",2022-03-26,NULL,0,NULL,NULL
1,1949,"Data Analyst",2022-08-11,NULL,0,NULL,NULL
2,1949,"Business Analyst",2022-08-15,NULL,0,NULL,NULL
1,1956,"Data Analyst",2022-06-02,NULL,0,NULL,NULL
1,2014,"Data Analyst",2022-04-20,NULL,0,NULL,NULL
2,2014,"Business Analyst",2022-04-20,NULL,0,NULL,NULL
1,2018,"Data Analyst",2022-06-02,NULL,0,NULL,NULL
1,2019,"Data Analyst",2022-01-18,NULL,0,NULL,NULL
1,2073,"Data Scientist",2022-01-01,NULL,0,NULL,NULL
1,2084,"Data Scientist",2022-06-26,NULL,0,NULL,NULL
2,2084,"Data Analyst",2022-06-26,NULL,0,NULL,NULL
1,2091,"Data Scientist",2022-09-09,NULL,0,NULL,NULL
2,2091,"Data Analyst",2022-06-12,NULL,0,NULL,NULL
1,2110,"Data Scientist",2022-09-26,NULL,0,NULL,NULL
1,2112,"Data Scientist",2022-01-17,NULL,0,NULL,NULL
1,2113,"Data Scientist",2022-09-13,NULL,0,NULL,NULL
1,2114,"Data Scientist",2022-01-16,NULL,0,NULL,NULL
2,2114,"Business Analyst",2022-01-16,NULL,0,NULL,NULL
1,2134,"Data Analyst",2022-06-24,NULL,0,NULL,NULL
1,2222,"Data Analyst",2022-03-04,NULL,0,NULL,NULL
1,2255,"Data Scientist",2022-01-24,NULL,0,NULL,NULL
1,2259,"Data Analyst",2022-09-20,NULL,0,NULL,NULL
2,2259,"Business Analyst",2022-09-20,NULL,0,NULL,NULL
1,2264,"Data Scientist",2022-04-30,NULL,0,NULL,NULL
1,2292,"Data Scientist",2022-01-09,NULL,0,NULL,NULL
2,2292,"Data Analyst",2022-05-19,NULL,0,NULL,NULL
1,2295,"Data Analyst",2022-05-24,NULL,0,NULL,NULL
1,2307,"Business Analyst",2022-01-23,NULL,0,NULL,NULL
1,2353,"Business Analyst",2022-06-30,NULL,0,NULL,NULL
1,2397,"Data Scientist",2022-09-02,NULL,0,NULL,NULL
1,2431,"Data Analyst",2022-05-24,NULL,0,NULL,NULL
1,2473,"Data Scientist",2022-08-13,NULL,0,NULL,NULL
1,2611,"Data Scientist",2022-08-11,NULL,0,NULL,NULL
1,2617,"Business Analyst",2022-01-29,NULL,0,NULL,NULL
1,2620,"Data Analyst",2022-04-24,NULL,0,NULL,NULL
1,2629,"Data Analyst",2022-04-05,NULL,0,NULL,NULL
1,2649,"Data Scientist",2022-07-03,NULL,0,NULL,NULL
1,2690,"Data Scientist",2022-09-08,NULL,0,NULL,NULL
1,2701,"Data Analyst",2022-07-16,NULL,0,NULL,NULL
1,2702,"Business Analyst",2022-05-07,NULL,0,NULL,NULL
1,2731,"Data Analyst",2022-01-12,NULL,0,NULL,NULL
1,2827,"Data Analyst",2022-01-27,NULL,0,NULL,NULL
1,2881,"Data Scientist",2022-06-10,NULL,0,NULL,NULL
1,2938,"Data Scientist",2022-03-09,NULL,0,NULL,NULL
1,2945,"Data Scientist",2022-02-16,NULL,0,NULL,NULL
1,2954,"Data Scientist",2022-03-06,NULL,0,NULL,NULL
1,2971,"Data Analyst",2022-06-19,NULL,0,NULL,NULL
1,3002,"Data Scientist",2022-01-07,NULL,0,NULL,NULL
2,3002,"Data Analyst",2022-01-07,NULL,0,NULL,NULL
3,3002,"Business Analyst",2022-01-07,NULL,0,NULL,NULL
1,3056,"Data Analyst",2022-04-03,NULL,0,NULL,NULL
2,3056,"Business Analyst",2022-04-03,NULL,0,NULL,NULL
1,3062,"Data Analyst",2022-01-31,NULL,0,NULL,NULL
1,3080,"Data Scientist",2022-08-06,NULL,0,NULL,NULL
1,3103,"Data Scientist",2022-06-22,NULL,0,NULL,NULL
1,3115,"Data Analyst",2022-02-18,NULL,0,NULL,NULL
1,3183,"Data Scientist",2022-02-17,NULL,0,NULL,NULL
2,3183,"Data Analyst",2022-01-26,NULL,0,NULL,NULL
1,3195,"Data Analyst",2022-01-12,NULL,0,NULL,NULL
1,3239,"Data Analyst",2022-03-11,NULL,0,NULL,NULL
1,3247,"Data Scientist",2022-04-26,NULL,0,NULL,NULL
1,3260,"Data Analyst",2022-10-02,NULL,0,NULL,NULL
1,3297,"Data Analyst",2022-07-31,NULL,0,NULL,NULL
1,3310,"Data Scientist",2022-10-04,NULL,0,NULL,NULL
2,3310,"Data Analyst",2022-10-04,NULL,0,NULL,NULL
1,3360,"Data Analyst",2022-07-18,NULL,0,NULL,NULL
1,3416,"Data Analyst",2022-02-22,NULL,0,NULL,NULL
1,3423,"Data Scientist",2022-03-27,NULL,0,NULL,NULL
1,3478,"Business Analyst",2022-09-04,NULL,0,NULL,NULL
1,3494,"Data Analyst",2022-09-07,NULL,0,NULL,NULL
1,3541,"Data Scientist",2022-06-25,NULL,0,NULL,NULL
1,3550,"Data Analyst",2022-02-08,NULL,0,NULL,NULL
1,3577,"Data Scientist",2022-05-14,2023-03-05,1,295,"91 to 365 days"
1,3643,"Data Scientist",2022-01-23,NULL,0,NULL,NULL
1,3749,"Data Analyst",2022-01-14,NULL,0,NULL,NULL
1,3751,"Data Scientist",2022-09-20,NULL,0,NULL,NULL
1,3817,"Data Analyst",2022-04-21,NULL,0,NULL,NULL
